OWNER,TABLE_NAME
FUSION,XCC_ESSBASE_DATA_RUNS
FUSION,XCC_ESSBASE_DUPLICATE_PARENTS
FUSION,XCC_ESSBASE_REPORTING_TREES
FUSION,XCC_MASTER_PROCESSES
FUSION,XCC_PENDING_ACTIVITIES
FUSION,XCC_PROCESS_ERRORS
FUSION,XCC_RECALC_PROCESS_ERRORS
FUSION,XCC_REFRESH_TREE_HISTORY
FUSION,XCC_REV_FUND_REQUESTS
FUSION,XCC_REV_FUND_REQUEST_RULES
FUSION,XCC_REV_FUND_REQ_RULE_SOURCES
FUSION,XCC_REV_FUND_REQ_RULE_TARGETS
FUSION,XCC_REV_FUND_RULE_BALANCES
FUSION,XCC_SEG_NOT_BUDGETED_SEG_VAL
FUSION,XCC_SEG_NOT_BUDGETED_SEG_VAL_
FUSION,XCC_SEG_VAL_HIER_RF
FUSION,XCC_SEG_VAL_HIER_SNAPSHOT
FUSION,XCC_SIM_HEADERS
FUSION,XCC_SIM_LINES
FUSION,XCC_SL_TR_HEADERS
FUSION,XCC_SL_TR_NOTIFICATIONS
FUSION,XCC_SL_TR_OVERRIDERS
FUSION,XCC_STREAM_BALANCES_T
FUSION,XCC_STREAM_CUBES_GT
FUSION,XCC_STREAM_DATA_SETS_GT
FUSION,XCC_SYSTEM_OPTIONS
FUSION,XCC_SYSTEM_OPTIONS_
FUSION,XCC_TREE_VERSIONS
FUSION,XCC_TR_BALANCES
FUSION,XCC_TR_DIAGNOSTICS_GT
FUSION,XCC_TR_HEADERS
FUSION,XCC_TR_HEADERS_HISTORY
FUSION,XCC_TR_LINES
FUSION,XCC_TR_LINES_HISTORY
FUSION,XCC_UNDO_REDO_DATA_SETS_GT
FUSION,XCC_UNDO_REDO_LINES_GT
FUSION,XCC_USER_OVERRIDES_GT
FUSION,XCC_BALANCES_V
FUSION,XCC_BC_REPROCESS_EXTRACT_V
FUSION,XCC_BUDGET_ADJUSTMENTS_V
FUSION,XCC_BUDGET_ENTRIES_V
FUSION,XCC_CONTROL_BUDGET_ERRORS_V
FUSION,XCC_EPM_BUDGET_ADJUSTMENTS_V
FUSION,XCC_PJC_BURDEN_EXTRACT_V
FUSION,XCC_PJO_CB_BALANCES_V
FUSION,XCC_SIM_EXTRACT_V
FUSION,XCC_UNDO_REDO_ERRORS_V
FUSION,XCC_UNDO_REDO_EXTRACT_V
FUSION,CE_ACCT_HISTORY
FUSION,CE_ACCT_TRX_CREAT_RULES
FUSION,CE_ACCT_TRX_CREAT_RULES_
FUSION,CE_AP_PM_DOC_CATEGORIES
FUSION,CE_AP_PM_DOC_CATEGORIES_
FUSION,CE_BALANCE_ACCT_GROUP
FUSION,CE_BANK_ACCOUNTS
FUSION,CE_BANK_ACCOUNTS_
FUSION,CE_BANK_ACCOUNT_CASH_CCIDS
FUSION,CE_BANK_ACCOUNT_GRANTS
FUSION,CE_BANK_ACCOUNT_GRANTS_
FUSION,CE_BANK_ACCT_USES_ALL
FUSION,CE_BANK_ACCT_USES_ALL_
FUSION,CE_BANK_BRANCH_IDENTIFIERS
FUSION,CE_BANK_BRANCH_IDENTIFIERS_
FUSION,CE_BANK_VAL_GT
FUSION,CE_BAT_TRANSFERS
FUSION,CE_CASH_POOLS
FUSION,CE_CASH_POOLS_
FUSION,CE_CASH_POOL_MEMBERS
FUSION,CE_CASH_POOL_MEMBERS_
FUSION,CE_CHECKBOOKS
FUSION,CE_CHECKBOOKS_
FUSION,CE_CLEARING_PARAMS_GT
FUSION,CE_CONTACT_ASSIGNMENTS
FUSION,CE_CP_BANK_ACCOUNT_DIM
FUSION,CE_CP_BANK_DIM
FUSION,CE_CP_CASH_POOL_DIM
FUSION,CE_CP_CUBE_DIMENSIONS
FUSION,CE_CP_CUBE_DIMENSIONS_
FUSION,CE_CP_CURRENCY_DIM
FUSION,CE_CP_CUSTOM_DIM
FUSION,CE_CP_DIMENSION_MAPPING
FUSION,CE_CP_DIMENSION_SOURCES
FUSION,CE_CP_DIMENSION_SOURCES_
FUSION,CE_CP_DRILLTHROUGHS
FUSION,CE_CP_FACTS
FUSION,CE_CP_GL_PERIODS_DIM
FUSION,CE_CP_LAST_JOB_RUNS
FUSION,CE_CP_LEGAL_ENTITY_DIM
FUSION,CE_CP_LEGAL_ENTITY_REGION_DIM
FUSION,CE_CP_OPTIONS
FUSION,CE_CP_OPTIONS_
FUSION,CE_CP_OPTION_TIME_DIMS
FUSION,CE_CP_OPTION_TIME_DIMS_
FUSION,CE_CP_SOURCE_DIM
FUSION,CE_CP_SOURCE_SYSTEM_DIM
FUSION,CE_CP_STMT_HEADERS_INT
FUSION,CE_CP_STMT_LINES_INT
FUSION,CE_CP_SYS_TRX_INT
FUSION,CE_CP_TRANSACTION_TYPES_DIM
FUSION,CE_CP_USER_ACCESS
FUSION,CE_CP_USER_ACCESS_INT
FUSION,CE_CTRY_SPECIFIC_UI_RULES
FUSION,CE_EXTERNAL_RECON_INT
FUSION,CE_EXTERNAL_TRANSACTIONS
FUSION,CE_EXT_TRX_INTERFACE
FUSION,CE_FINANCING_PROGRAMS_B
FUSION,CE_FINANCING_PROGRAMS_B_
FUSION,CE_FINANCING_PROGRAMS_TL
FUSION,CE_FINANCING_PROGRAMS_TL_
FUSION,CE_FIN_PROGRAM_CAMPAIGNS_B
FUSION,CE_FIN_PROGRAM_CAMPAIGNS_B_
FUSION,CE_FIN_PROGRAM_CAMPAIGNS_TL
FUSION,CE_FIN_PROGRAM_CAMPAIGNS_TL_
FUSION,CE_FIN_PROGRAM_CONTROLS
FUSION,CE_FIN_PROGRAM_CONTROLS_
FUSION,CE_FIN_PROGRAM_LE_ASSOC
FUSION,CE_FIN_PROGRAM_LE_ASSOC_
FUSION,CE_FIN_PROGRAM_OFFERS
FUSION,CE_GL_ACCOUNTS_CCID
FUSION,CE_GL_ACCOUNTS_CCID_
FUSION,CE_INDEX_BANKS
FUSION,CE_INDEX_BANK_BRANCHES
FUSION,CE_INSTRUMENT_ATTRIBUTES
FUSION,CE_JE_MAPPINGS
FUSION,CE_JE_MAPPINGS_
FUSION,CE_JE_MESSAGES
FUSION,CE_ORG_PROFILE_VAL_GT
FUSION,CE_PARSING_RULES
FUSION,CE_PARSING_RULES_
FUSION,CE_PARSING_RULE_SETS
FUSION,CE_PARSING_RULE_SETS_
FUSION,CE_PARTY_VAL_GT
FUSION,CE_PAYEES
FUSION,CE_PAYEES_
FUSION,CE_PAYMENT_DOCUMENTS
FUSION,CE_PAYMENT_DOCUMENTS_
FUSION,CE_PAYMENT_INSTRUMENTS
FUSION,CE_PAYMENT_INSTRUMENTS_
FUSION,CE_PGM_THIRD_PARTY_CAND_HIST
FUSION,CE_PGM_THIRD_PTY_CANDIDATES
FUSION,CE_PGM_THIRD_PTY_CANDIDATES_
FUSION,CE_PGM_THIRD_PTY_ENROLLMENT
FUSION,CE_PGM_THIRD_PTY_ENROLLMENT_
FUSION,CE_PGM_THIRD_PTY_LE_ASSOC
FUSION,CE_PGM_THIRD_PTY_LE_ASSOC_
FUSION,CE_PMT_INSTR_BU_ASSIGNMENTS
FUSION,CE_PMT_INSTR_BU_ASSIGNMENTS_
FUSION,CE_RECON_EXCEPTIONS
FUSION,CE_RECON_EXCEPTIONS_GT
FUSION,CE_RECON_HISTORY
FUSION,CE_RECON_HISTORY_GT
FUSION,CE_RECON_HISTORY_ITEMS
FUSION,CE_RECON_HISTORY_UNRECON_GT
FUSION,CE_RECON_MATCHING_RULES
FUSION,CE_RECON_MATCHING_RULES_
FUSION,CE_RECON_RULESETS
FUSION,CE_RECON_RULESETS_
FUSION,CE_RECON_RULESET_ITEMS
FUSION,CE_RECON_RULESET_ITEMS_
FUSION,CE_RECON_RULE_GROUPBYS
FUSION,CE_RECON_STMTAGGR_GT
FUSION,CE_RECON_STMT_GT
FUSION,CE_RECON_TOLERANCE_RULES
FUSION,CE_RECON_TOLERANCE_RULES_
FUSION,CE_RECON_TXNSAGGR_GT
FUSION,CE_RECON_TXNS_GT
FUSION,CE_RELATIONSHIP_VAL_GT
FUSION,CE_STATEMENT_HEADERS
FUSION,CE_STATEMENT_HEADERS_INT
FUSION,CE_STATEMENT_LINES
FUSION,CE_STATEMENT_LINES_INT
FUSION,CE_STMT_BALANCES
FUSION,CE_STMT_BALANCES_INT
FUSION,CE_STMT_BAL_AVALBTY
FUSION,CE_STMT_BAL_AVALBTY_INT
FUSION,CE_STMT_HDR_TOTALS_INT
FUSION,CE_STMT_HDR_TOT_AVBTY_INT
FUSION,CE_STMT_IMPORT_ERRORS
