OWNER|SYNONYM_NAME|TABLE_OWNER|TABLE_NAME|DB_LINK
FUSION|ADXX_DOO_PC_LF_FLINEFLNSHP|FUSION_DYNAMIC|ADXX_DOO_PC_LF_FLINEFLNSHP|
FUSION|ADXX_DOO_PC_LH_HEADERDOO_ISO|FUSION_DYNAMIC|ADXX_DOO_PC_LH_HEADERDOO_ISO|
FUSION|ADXX_DOO_PC_LH_HEADERDOO_SUB|FUSION_DYNAMIC|ADXX_DOO_PC_LH_HEADERDOO_SUB|
FUSION|ADXX_DOO_PC_LH_HEADERDOO_TM|FUSION_DYNAMIC|ADXX_DOO_PC_LH_HEADERDOO_TM|
FUSION|ADXX_DOO_PC_LH_HEADERDOO_TO|FUSION_DYNAMIC|ADXX_DOO_PC_LH_HEADERDOO_TO|
FUSION|ADXX_DOO_PC_LH_HEADERORDCLS|FUSION_DYNAMIC|ADXX_DOO_PC_LH_HEADERORDCLS|
FUSION|ADXX_DOO_PC_LH_HEADERORDCNC|FUSION_DYNAMIC|ADXX_DOO_PC_LH_HEADERORDCNC|
FUSION|ADXX_DOO_PC_LL_LINELINCLS|FUSION_DYNAMIC|ADXX_DOO_PC_LL_LINELINCLS|
FUSION|ADXX_DOO_PC_LL_LINELINCNC|FUSION_DYNAMIC|ADXX_DOO_PC_LL_LINELINCNC|
FUSION|ADXX_DOO_PC_LL_LINHDRLINCLS|FUSION_DYNAMIC|ADXX_DOO_PC_LL_LINHDRLINCLS|
